CustomerID,Age,Gender,Location,JoinDate
1,63,Other,East,01/01/20
2,63,Male,North,02/01/20
3,34,Other,North,03/01/20
4,19,Other,,04/01/20
5,57,Male,North,05/01/20
6,22,Other,South,06/01/20
7,56,Other,East,07/01/20
8,65,Female,East,08/01/20
9,33,Male,West,09/01/20
10,34,Male,East,10/01/20
11,44,Other,North,11/01/20
12,24,Other,East,13/01/20
13,69,Male,East,14/01/20
14,25,Male,North,15/01/20
15,25,Male,North,16/01/20
16,40,Other,East,17/01/20
17,49,Female,South,18/01/20
18,60,Female,North,19/01/20
19,64,Other,South,20/01/20
20,35,Other,South,21/01/20
21,55,Other,West,22/01/20
22,29,Male,South,24/01/20
23,32,Other,West,25/01/20
24,45,Male,South,26/01/20
25,55,Female,West,27/01/20
26,67,Other,North,28/01/20
27,48,Other,East,29/01/20
28,69,Male,East,30/01/20
29,26,Male,West,31/01/20
30,25,Male,North,01/02/20
31,63,Female,West,02/02/20
32,36,Female,West,04/02/20
33,68,Other,North,05/02/20
34,25,Other,South,06/02/20
35,51,Male,South,07/02/20
36,21,Female,North,08/02/20
37,48,Other,West,09/02/20
38,55,Male,East,10/02/20
39,20,Male,West,11/02/20
40,52,Female,South,12/02/20
41,36,Female,North,13/02/20
42,60,Other,North,14/02/20
43,46,Other,North,16/02/20
44,27,Male,South,17/02/20
45,29,Male,West,18/02/20
46,63,Male,North,19/02/20
47,47,Other,East,20/02/20
48,47,Female,North,21/02/20
49,35,Other,West,22/02/20
50,41,Female,South,23/02/20
51,49,Other,East,24/02/20
52,26,Other,East,25/02/20
53,64,Female,North,27/02/20
54,41,Other,West,28/02/20
55,43,Other,North,29/02/20
56,20,Male,East,01/03/20
57,40,Female,North,02/03/20
58,28,Female,West,03/03/20
59,27,Male,South,04/03/20
60,67,Female,East,05/03/20
61,53,Male,West,06/03/20
62,30,Female,North,07/03/20
63,46,Female,East,09/03/20
64,55,Female,North,10/03/20
65,30,Female,North,11/03/20
66,43,Male,South,12/03/20
67,37,Male,North,13/03/20
68,22,Female,North,14/03/20
69,37,Other,West,15/03/20
70,31,Male,North,16/03/20
71,62,Female,South,17/03/20
72,31,Male,North,18/03/20
73,25,Other,North,19/03/20
74,65,Other,North,21/03/20
75,30,Other,East,22/03/20
76,41,Female,South,23/03/20
77,32,Female,East,24/03/20
78,68,Other,South,25/03/20
79,18,Male,South,26/03/20
80,39,Male,West,27/03/20
81,51,Other,East,28/03/20
82,67,Female,South,29/03/20
83,68,Male,South,30/03/20
84,57,Male,West,01/04/20
85,20,Male,East,02/04/20
86,43,Female,North,03/04/20
87,31,Other,West,04/04/20
88,58,Female,South,05/04/20
89,25,Male,East,06/04/20
90,66,Other,South,07/04/20
91,33,Female,West,08/04/20
92,59,Other,West,09/04/20
93,38,Male,East,10/04/20
94,27,Female,West,12/04/20
95,42,Other,West,13/04/20
96,55,Female,North,14/04/20
97,39,Male,South,15/04/20
98,66,Other,North,16/04/20
99,65,Male,North,17/04/20
100,64,Other,East,18/04/20
101,63,Male,West,19/04/20
102,21,Male,South,20/04/20
103,21,Female,South,21/04/20
104,47,Male,South,23/04/20
105,19,Female,West,24/04/20
106,46,Male,South,25/04/20
107,60,Male,South,26/04/20
108,53,Male,West,27/04/20
109,38,Other,East,28/04/20
110,38,Female,South,29/04/20
111,65,Other,West,30/04/20
112,38,Female,North,01/05/20
113,21,Male,,02/05/20
114,18,Other,North,03/05/20
115,43,Female,,05/05/20
116,68,Male,South,06/05/20
117,19,Female,East,07/05/20
118,26,Female,East,08/05/20
119,62,Male,South,09/05/20
120,35,Other,North,10/05/20
121,65,Male,West,11/05/20
122,65,Other,South,12/05/20
123,59,Female,West,13/05/20
124,58,Female,South,14/05/20
125,28,Female,South,16/05/20
126,42,Other,West,17/05/20
