TransactionID,CustomerID,ProductID,QuantityPurchased,TransactionDate,Price
1,103,120,3,01/01/23,30.43
2,436,126,1,01/01/23,15.19
3,861,55,3,01/01/23,67.76
4,271,27,2,01/01/23,65.77
5,107,118,1,01/01/23,14.55
6,72,53,1,01/01/23,26.27
7,701,39,2,01/01/23,95.92
8,21,65,4,01/01/23,17.19
9,615,145,4,01/01/23,66
10,122,158,2,01/01/23,22.27
11,467,181,2,01/01/23,69
12,215,13,3,01/01/23,18.78
13,331,21,1,01/01/23,14.29
14,459,147,3,01/01/23,53.98
15,88,53,2,01/01/23,26.27
16,373,19,3,01/01/23,96.33
17,100,57,2,01/01/23,84.9
18,872,25,3,01/01/23,90.34
19,664,31,3,01/01/23,51.2
20,131,81,4,01/01/23,76.79
21,662,183,2,01/01/23,32.66
22,309,23,3,01/01/23,41.4
23,770,32,1,01/01/23,43.82
24,344,190,3,01/01/23,92.82
25,492,74,3,02/01/23,42.05
26,414,10,1,02/01/23,57.39
27,806,200,2,02/01/23,93.91
28,386,54,4,02/01/23,82.01
29,192,52,4,02/01/23,80.47
30,956,148,4,02/01/23,67.98
31,277,160,1,02/01/23,85.88
32,161,114,3,02/01/23,78.16
33,460,14,2,02/01/23,31.64
34,314,178,3,02/01/23,11.21
35,22,156,4,02/01/23,89.84
36,253,110,3,02/01/23,25.42
37,748,53,1,02/01/23,26.27
38,857,152,1,02/01/23,63.79
39,561,79,2,02/01/23,50.42
40,475,22,2,02/01/23,23.28
41,59,30,4,02/01/23,19.32
42,511,191,2,02/01/23,48.47
43,682,4,3,02/01/23,22.06
44,476,59,1,02/01/23,51.94
45,700,8,1,02/01/23,87.2
46,976,12,1,02/01/23,87.46
47,783,119,2,02/01/23,90.33
48,190,159,1,02/01/23,17.42
49,958,34,1,03/01/23,49.48
50,687,82,1,03/01/23,72.65
51,958,98,4,03/01/23,30.55
52,563,127,4,03/01/23,94.35
53,876,75,2,03/01/23,96.74
54,567,105,1,03/01/23,16.09
55,244,49,2,03/01/23,78.21
56,832,79,1,03/01/23,50.42
57,505,185,1,03/01/23,90.8
58,131,93,1,03/01/23,29.67
